run_num,run_info,total_seconds,imports,initial_data_load,cached_data_load,sidebar_filtering,watchlist_tab,diary_tab,stats_tab,year_tab,genre_tab,director_tab,actor_tab,collections_tab,filmid_lookup_tab
23,shap scores to initial load,20.5032958984375,0.0,19.35128736495972,,0.021881103515625,0.1688635349273681,0.0856223106384277,0.1067817211151123,0.1599812507629394,0.0360498428344726,0.2238802909851074,0.3150904178619385,0.006415843963623,0.0244386196136474
24,shap scores to initial load,1.035531997680664,0.0,,0.0,0.025331974029541,0.1126313209533691,0.0682196617126464,0.0928757190704345,0.1143932342529296,0.0414657592773437,0.218745470046997,0.3234884738922119,0.0040359497070312,0.030344009399414
25,shap scores to initial load,1.017474889755249,0.0,,0.0,0.0210254192352294,0.110673189163208,0.0797538757324218,0.100022554397583,0.1231067180633544,0.0441629886627197,0.1899895668029785,0.3107328414916992,0.0039989948272705,0.0295851230621337
26,shap scores to initial load,0.9893836975097656,0.0,,0.000504732131958,0.0117683410644531,0.0724730491638183,0.0632002353668212,0.0985400676727294,0.1844522953033447,0.0437474250793457,0.1987712383270263,0.2756679058074951,0.0051066875457763,0.0311989784240722
27,shap scores to initial load,0.912498950958252,0.0,,0.0,0.0170278549194335,0.071512222290039,0.0716176033020019,0.0980010032653808,0.1235103607177734,0.0394012928009033,0.1832137107849121,0.2704570293426513,0.004004955291748,0.0307402610778808
28,shap scores to initial load,0.8905999660491943,0.0,,0.0,0.0211408138275146,0.0637147426605224,0.0666549205780029,0.0922095775604248,0.1220676898956298,0.0419442653656005,0.1821587085723877,0.2629525661468506,0.0050623416900634,0.0265448093414306
29,stats scatter chart to initial load,20.45473313331604,0.0,19.41836953163147,,0.0237810611724853,0.1637670993804931,0.0911800861358642,0.0783720016479492,0.1321370601654052,0.0335879325866699,0.1874442100524902,0.2894809246063232,0.0070002079010009,0.0270493030548095
30,stats scatter chart to initial load,1.0563197135925293,0.0,,0.0,0.0387294292449951,0.1318483352661132,0.0869626998901367,0.1097636222839355,0.1278774738311767,0.0370514392852783,0.1883502006530761,0.3003976345062256,0.0040225982666015,0.0282812118530273
31,stats scatter chart to initial load,0.9842791557312012,0.0,,0.0,0.0260419845581054,0.15830659866333,0.0692276954650878,0.0688250064849853,0.1113996505737304,0.0384588241577148,0.1727304458618164,0.3029732704162597,0.0040235519409179,0.0292911529541015
32,stats scatter chart to initial load,0.909970998764038,0.0,,0.0,0.0328166484832763,0.0859003067016601,0.0673739910125732,0.0751018524169921,0.1213850975036621,0.0419955253601074,0.1752800941467285,0.2750062942504883,0.0047206878662109,0.0284535884857177
33,stats scatter chart to initial load,0.8731720447540283,0.0,,0.0,0.0167672634124755,0.0565888881683349,0.0759689807891845,0.0727732181549072,0.1223747730255127,0.0382258892059326,0.1801815032958984,0.2747871875762939,0.0030043125152587,0.0294981002807617
34,stats scatter chart to initial load,0.9441039562225342,0.0,,0.0009994506835937,0.0254437923431396,0.0653636455535888,0.0712530612945556,0.0794875621795654,0.1204366683959961,0.0390865802764892,0.1837825775146484,0.3092551231384277,0.0071005821228027,0.0387947559356689
35,stats scatter chart to initial load,0.9257941246032716,0.0,,0.0,0.0210101604461669,0.0536863803863525,0.060063362121582,0.0708508491516113,0.119835615158081,0.0407764911651611,0.1824567317962646,0.3412723541259765,0.0039918422698974,0.0298526287078857
36,Actor scatter chart to initial load,20.560077905654907,0.0,19.493051767349243,,0.0240085124969482,0.1638548374176025,0.0842833518981933,0.0847401618957519,0.1441504955291748,0.0391013622283935,0.1776988506317138,0.3026120662689209,0.0085430145263671,0.0330142974853515
37,Actor scatter chart to initial load,0.8877050876617432,0.0,,0.0,0.0212795734405517,0.1065740585327148,0.0790488719940185,0.084653615951538,0.1199047565460205,0.0408892631530761,0.1785924434661865,0.2190139293670654,0.0070044994354248,0.028529405593872
38,Actor scatter chart to initial load,0.8252005577087402,0.0,,0.0,0.0240623950958251,0.0837070941925048,0.0661613941192627,0.0710551738739013,0.121305227279663,0.0386261940002441,0.1777751445770263,0.210726261138916,0.0029780864715576,0.0278224945068359
39,Actor scatter chart to initial load,0.9087285995483398,0.0,,0.0,0.0159509181976318,0.0533573627471923,0.0736465454101562,0.0754995346069336,0.124263048171997,0.0419619083404541,0.1816964149475097,0.3028261661529541,0.0053381919860839,0.0311906337738037
40,Actor scatter chart to initial load,0.851360559463501,0.0,,0.0,0.018662691116333,0.0599410533905029,0.0601928234100341,0.0726230144500732,0.1194841861724853,0.0366840362548828,0.1799623966217041,0.2663247585296631,0.004544973373413,0.0306363105773925
41,Actor scatter chart to initial load,0.9375181198120116,0.0,,0.0,0.0196564197540283,0.0655353069305419,0.0692486763000488,0.0712497234344482,0.1452124118804931,0.0412237644195556,0.1894361972808838,0.2959203720092773,0.0029995441436767,0.0320205688476562
42,Move all charts to initial load,20.44149875640869,0.0,19.61188149452209,,0.0254328250885009,0.1699438095092773,0.1242208480834961,0.0180518627166748,0.1492750644683838,0.0068411827087402,0.1427083015441894,0.150407075881958,0.0069763660430908,0.0318927764892578
43,Move all charts to initial load,0.642139196395874,0.0,,0.0,0.0138492584228515,0.0841968059539794,0.0774095058441162,0.0126070976257324,0.0885491371154785,0.0020289421081542,0.1475806236267089,0.1805620193481445,0.0030016899108886,0.0303678512573242
44,Move all charts to initial load,0.6515743732452393,0.0,,0.0,0.0155260562896728,0.1331214904785156,0.0633184909820556,0.0115554332733154,0.1035017967224121,0.002004861831665,0.1400511264801025,0.1484174728393554,0.0051047801971435,0.0273745059967041
45,Move all charts to initial load,20.62222599983216,0.0,19.87949085235596,,0.025632619857788,0.1724529266357422,0.1095664501190185,0.0143942832946777,0.1131069660186767,0.001619815826416,0.1207518577575683,0.1482131481170654,0.0030233860015869,0.0313889980316162
46,Move all charts to initial load,0.5725452899932861,0.0,,0.0,0.0236334800720214,0.0872256755828857,0.0676624774932861,0.0125262737274169,0.0937006473541259,0.0030684471130371,0.1153509616851806,0.1336297988891601,0.0040972232818603,0.030632734298706
47,Move all charts to initial load,21.64494562149048,0.0010566711425781,20.961289882659912,,0.0267963409423828,0.1533231735229492,0.0877032279968261,0.0175950527191162,0.0895895957946777,0.0019989013671875,0.1261687278747558,0.147078275680542,0.0050001144409179,0.024806261062622
48,Move all charts to initial load,0.6098833084106445,0.0,,0.0,0.0222759246826171,0.0992524623870849,0.0662984848022461,0.0127279758453369,0.0931153297424316,0.0029940605163574,0.1409482955932617,0.1324014663696289,0.0039887428283691,0.0328774452209472
49,Move all charts to initial load,0.5661249160766602,0.0,,0.0,0.0136783123016357,0.0634365081787109,0.0751199722290039,0.0140206813812255,0.092287540435791,0.0040233135223388,0.1154937744140625,0.1494505405426025,0.0040032863616943,0.0326118469238281
